timestamp,active_streams,total_packets,total_reconnects,error_streams,cpu_percent,memory_mb,disk_read_mb,disk_write_mb
2026-08-10T03:32:59,10,1460,0,0,3.8,56,0.0,0.0
2026-08-10T03:32:59,10,1490,0,0,3.8,56,0.0,0.0
2026-08-10T03:32:59,10,1530,0,0,3.8,56,0.0,0.0
2026-08-10T03:32:59,10,1560,0,0,3.1,56,0.0,0.0
2026-08-10T03:33:00,10,1600,0,0,3.3,56,0.0,0.2
2026-08-10T03:33:00,10,1640,0,0,3.3,56,0.0,0.0
2026-08-10T03:33:00,10,1660,0,0,3.3,56,0.0,0.0
2026-08-10T03:33:00,10,1710,0,0,3.5,56,0.0,0.0
2026-08-10T03:33:00,10,1740,0,0,3.5,56,0.0,0.0
2026-08-10T03:33:00,10,1780,0,0,3.5,56,0.0,0.0
2026-08-10T03:33:00,10,1810,0,0,3.6,56,0.0,0.0
2026-08-10T03:33:00,10,1840,0,0,3.1,56,0.0,0.0
2026-08-10T03:33:01,10,1880,0,0,3.1,57,0.0,0.3
2026-08-10T03:33:01,10,1910,0,0,3.1,57,0.0,0.0
2026-08-10T03:33:01,10,1950,0,0,3.2,57,0.0,0.0
2026-08-10T03:33:01,10,1990,0,0,3.2,57,0.0,0.0
2026-08-10T03:33:01,10,2020,0,0,3.4,58,0.0,0.0
2026-08-10T03:33:01,10,2050,0,0,3.4,58,0.0,0.0
2026-08-10T03:33:01,10,2090,0,0,3.4,58,0.0,0.0
2026-08-10T03:33:01,10,2130,0,0,3.4,58,0.0,0.0
2026-08-10T03:33:01,10,2170,0,0,3.0,58,0.0,0.0
2026-08-10T03:33:02,10,2192,0,0,3.0,58,0.0,0.2
2026-08-10T03:33:02,10,2240,0,0,3.1,58,0.0,0.0
2026-08-10T03:33:02,10,2280,0,0,3.2,58,0.0,0.0
2026-08-10T03:33:02,10,2300,0,0,3.2,58,0.0,0.0
2026-08-10T03:33:02,10,2350,0,0,3.2,58,0.0,0.0
2026-08-10T03:33:02,10,2380,0,0,3.2,58,0.0,0.0
2026-08-10T03:33:02,10,2420,0,0,3.2,59,0.0,0.0
2026-08-10T03:33:02,10,2440,0,0,3.0,59,0.0,0.0
2026-08-10T03:33:03,10,2480,0,0,3.0,59,0.0,0.2
2026-08-10T03:33:03,10,2520,0,0,3.0,59,0.0,0.0
2026-08-10T03:33:03,10,2550,0,0,3.0,59,0.0,0.0
2026-08-10T03:33:03,10,2600,0,0,3.1,61,0.0,0.0
2026-08-10T03:33:03,10,2630,0,0,3.2,61,0.0,0.0
2026-08-10T03:33:03,10,2670,0,0,3.2,61,0.0,0.0
2026-08-10T03:33:03,10,2690,0,0,3.2,61,0.0,0.0
2026-08-10T03:33:03,10,2740,0,0,2.9,61,0.0,0.0
2026-08-10T03:33:04,10,2770,0,0,2.9,61,0.0,0.0
2026-08-10T03:33:04,10,2800,0,0,2.9,61,0.0,0.2
2026-08-10T03:33:04,10,2830,0,0,3.0,61,0.0,0.0
2026-08-10T03:33:04,10,2880,0,0,3.0,61,0.0,0.0
2026-08-10T03:33:04,10,2920,0,0,3.1,61,0.0,0.0
2026-08-10T03:33:04,10,2940,0,0,3.1,61,0.0,0.0
2026-08-10T03:33:04,10,2980,0,0,3.1,61,0.0,0.0
2026-08-10T03:33:04,10,3020,0,0,3.1,61,0.0,0.0
2026-08-10T03:33:04,10,3050,0,0,2.8,61,0.0,0.0
2026-08-10T03:33:05,10,3090,0,0,2.9,62,0.0,0.3
2026-08-10T03:33:05,10,3130,0,0,2.9,62,0.0,0.0
2026-08-10T03:33:05,10,3150,0,0,2.9,62,0.0,0.0
2026-08-10T03:33:05,10,3200,0,0,3.0,63,0.0,0.0
2026-08-10T03:33:05,10,3240,0,0,3.0,63,0.0,0.0
2026-08-10T03:33:05,10,3270,0,0,3.0,63,0.0,0.0
2026-08-10T03:33:05,10,3300,0,0,3.0,63,0.0,0.0
2026-08-10T03:33:05,10,3330,0,0,2.7,63,0.0,0.0
2026-08-10T03:33:06,10,3380,0,0,2.8,63,0.0,0.2
2026-08-10T03:33:06,10,3410,0,0,2.8,63,0.0,0.0
2026-08-10T03:33:06,10,3440,0,0,2.9,63,0.0,0.0
2026-08-10T03:33:06,10,3470,0,0,2.9,63,0.0,0.0
2026-08-10T03:33:06,10,3520,0,0,2.9,63,0.0,0.0
2026-08-10T03:33:06,10,3550,0,0,2.9,63,0.0,0.0
2026-08-10T03:33:06,10,3580,0,0,2.9,63,0.0,0.0
2026-08-10T03:33:06,10,3630,0,0,3.0,64,0.0,0.0
2026-08-10T03:33:06,10,3660,0,0,2.8,64,0.0,0.0
2026-08-10T03:33:07,10,3700,0,0,2.8,64,0.0,0.3
2026-08-10T03:33:07,10,3720,0,0,2.8,64,0.0,0.0
2026-08-10T03:33:07,10,3760,0,0,2.8,64,0.0,0.0
2026-08-10T03:33:07,10,3800,0,0,2.8,66,0.0,0.0
2026-08-10T03:33:07,10,3840,0,0,2.9,66,0.0,0.0
2026-08-10T03:33:07,10,3870,0,0,2.9,66,0.0,0.0
2026-08-10T03:33:07,10,3900,0,0,3.0,66,0.0,0.0
2026-08-10T03:33:07,10,3950,0,0,2.7,66,0.0,0.0
2026-08-10T03:33:08,10,3980,0,0,2.7,66,0.0,0.2
2026-08-10T03:33:08,10,4020,0,0,2.7,66,0.0,0.0
2026-08-10T03:33:08,10,4050,0,0,2.7,66,0.0,0.0
2026-08-10T03:33:08,10,4080,0,0,2.8,66,0.0,0.0
2026-08-10T03:33:08,10,4110,0,0,2.8,66,0.0,0.0
2026-08-10T03:33:08,10,4160,0,0,2.9,66,0.0,0.0
2026-08-10T03:33:08,10,4190,0,0,2.9,66,0.0,0.0
2026-08-10T03:33:08,10,4220,0,0,2.9,66,0.0,0.0
2026-08-10T03:33:08,10,4270,0,0,2.7,66,0.0,0.0
2026-08-10T03:33:09,10,4300,0,0,2.7,67,0.0,0.2
2026-08-10T03:33:09,10,4330,0,0,2.8,67,0.0,0.0
2026-08-10T03:33:09,10,4370,0,0,2.8,67,0.0,0.0
2026-08-10T03:33:09,10,4410,0,0,2.8,68,0.0,0.0
2026-08-10T03:33:09,10,4440,0,0,2.8,68,0.0,0.0
2026-08-10T03:33:09,10,4480,0,0,2.8,68,0.0,0.0
2026-08-10T03:33:09,10,4500,0,0,2.8,68,0.0,0.0
2026-08-10T03:33:09,10,4550,0,0,2.7,68,0.0,0.0
2026-08-10T03:33:10,10,4590,0,0,2.7,68,0.0,0.2
